asset,strategy,move_pct,pnl,profitable
XRP,Bull Call Spread,-15,-0.043824000000000064,False
XRP,Bull Call Spread,-10,-0.043824000000000064,False
XRP,Bull Call Spread,-8,-0.043824000000000064,False
XRP,Bull Call Spread,-5,-0.043824000000000064,False
XRP,Bull Call Spread,-3,-0.043824000000000064,False
XRP,Bull Call Spread,-1,-0.03452799999999985,False
XRP,Bull Call Spread,0,-0.007967999999999933,False
XRP,Bull Call Spread,1,0.018591999999999984,True
XRP,Bull Call Spread,3,0.051128000000000076,True
XRP,Bull Call Spread,5,0.051128000000000076,True
XRP,Bull Call Spread,8,0.051128000000000076,True
XRP,Bull Call Spread,10,0.051128000000000076,True
XRP,Bull Call Spread,15,0.051128000000000076,True
XRP,Long Straddle,-15,0.10624,True
XRP,Long Straddle,-10,0.10624,True
XRP,Long Straddle,-8,0.10623999999999978,True
XRP,Long Straddle,-5,0.026560000000000028,True
XRP,Long Straddle,-3,-0.026559999999999806,False
XRP,Long Straddle,-1,-0.05312,False
XRP,Long Straddle,0,-0.05312,False
XRP,Long Straddle,1,-0.05312,False
XRP,Long Straddle,3,-0.026559999999999806,False
XRP,Long Straddle,5,0.026560000000000028,True
XRP,Long Straddle,8,0.10624,True
XRP,Long Straddle,10,0.10624,True
XRP,Long Straddle,15,0.10624,True
XRP,Iron Condor,-15,-0.10624,False
XRP,Iron Condor,-10,-0.10624,False
XRP,Iron Condor,-8,-0.10624,False
XRP,Iron Condor,-5,0.01328,True
XRP,Iron Condor,-3,0.01328,True
XRP,Iron Condor,-1,0.01328,True
XRP,Iron Condor,0,0.01328,True
XRP,Iron Condor,1,0.01328,True
XRP,Iron Condor,3,0.01328,True
XRP,Iron Condor,5,0.01328,True
XRP,Iron Condor,8,-0.10624,False
XRP,Iron Condor,10,-0.10624,False
XRP,Iron Condor,15,-0.10624,False
