asset,strategy,entry_price,exit_price,move_pct,pnl,profitable
SOL,Bear Put Spread,194.92,179.3264,-8,400.0,True
SOL,Bear Put Spread,194.92,185.17399999999998,-5,400.0,True
SOL,Bear Put Spread,194.92,191.02159999999998,-2,-292.2032,False
SOL,Bear Put Spread,194.92,194.92,0,-296.10159999999996,False
SOL,Bear Put Spread,194.92,198.8184,2,-300.0,False
SOL,Bear Put Spread,194.92,204.666,5,-300.0,False
SOL,Bear Put Spread,194.92,210.5136,8,-300.0,False
SOL,Bear Put Spread,194.92,214.412,10,-300.0,False
SOL,Long Straddle,194.92,175.428,-10,7.796799999999992,True
SOL,Long Straddle,194.92,179.3264,-8,3.8983999999999828,True
SOL,Long Straddle,194.92,185.17399999999998,-5,-1.9491999999999887,False
SOL,Long Straddle,194.92,191.02159999999998,-2,-7.796799999999989,False
SOL,Long Straddle,194.92,194.92,0,-11.695199999999998,False
SOL,Long Straddle,194.92,198.8184,2,-7.796799999999989,False
SOL,Long Straddle,194.92,204.666,5,-1.9491999999999887,False
SOL,Long Straddle,194.92,210.5136,8,3.898400000000011,True
SOL,Long Straddle,194.92,214.412,10,7.796800000000021,True
SOL,Iron Condor,194.92,175.428,-10,-350.0,False
SOL,Iron Condor,194.92,179.3264,-8,-350.0,False
SOL,Iron Condor,194.92,185.17399999999998,-5,-350.0,False
SOL,Iron Condor,194.92,191.02159999999998,-2,150.0,True
SOL,Iron Condor,194.92,194.92,0,150.0,True
SOL,Iron Condor,194.92,198.8184,2,150.0,True
SOL,Iron Condor,194.92,204.666,5,-350.0,False
SOL,Iron Condor,194.92,210.5136,8,-350.0,False
SOL,Iron Condor,194.92,214.412,10,-350.0,False
XRP,Bull Call Spread,2.6497,2.3847300000000002,-10,-300.0,False
XRP,Bull Call Spread,2.6497,2.4377240000000002,-8,-300.0,False
XRP,Bull Call Spread,2.6497,2.517215,-5,-300.0,False
XRP,Bull Call Spread,2.6497,2.596706,-2,-300.0,False
XRP,Bull Call Spread,2.6497,2.6497,0,-299.947006,False
XRP,Bull Call Spread,2.6497,2.702694,2,-299.894012,False
XRP,Bull Call Spread,2.6497,2.782185,5,400.0,True
XRP,Bull Call Spread,2.6497,2.8616760000000006,8,400.0,True
XRP,Bull Call Spread,2.6497,2.9146700000000005,10,400.0,True
XRP,Bear Put Spread,2.6497,2.3847300000000002,-10,400.0,True
XRP,Bear Put Spread,2.6497,2.4377240000000002,-8,400.0,True
XRP,Bear Put Spread,2.6497,2.517215,-5,400.0,True
XRP,Bear Put Spread,2.6497,2.596706,-2,-299.894012,False
XRP,Bear Put Spread,2.6497,2.6497,0,-299.947006,False
XRP,Bear Put Spread,2.6497,2.702694,2,-300.0,False
XRP,Bear Put Spread,2.6497,2.782185,5,-300.0,False
XRP,Bear Put Spread,2.6497,2.8616760000000006,8,-300.0,False
XRP,Bear Put Spread,2.6497,2.9146700000000005,10,-300.0,False
XRP,Long Straddle,2.6497,2.3847300000000002,-10,0.10598799999999992,True
XRP,Long Straddle,2.6497,2.4377240000000002,-8,0.05299399999999993,True
XRP,Long Straddle,2.6497,2.517215,-5,-0.02649700000000005,False
XRP,Long Straddle,2.6497,2.596706,-2,-0.10598800000000003,False
XRP,Long Straddle,2.6497,2.6497,0,-0.158982,False
XRP,Long Straddle,2.6497,2.702694,2,-0.10598800000000003,False
XRP,Long Straddle,2.6497,2.782185,5,-0.02649700000000005,False
XRP,Long Straddle,2.6497,2.8616760000000006,8,0.052994000000000374,True
XRP,Long Straddle,2.6497,2.9146700000000005,10,0.10598800000000036,True
XRP,Iron Condor,2.6497,2.3847300000000002,-10,-350.0,False
XRP,Iron Condor,2.6497,2.4377240000000002,-8,-350.0,False
XRP,Iron Condor,2.6497,2.517215,-5,-350.0,False
XRP,Iron Condor,2.6497,2.596706,-2,150.0,True
XRP,Iron Condor,2.6497,2.6497,0,150.0,True
XRP,Iron Condor,2.6497,2.702694,2,150.0,True
XRP,Iron Condor,2.6497,2.782185,5,-350.0,False
XRP,Iron Condor,2.6497,2.8616760000000006,8,-350.0,False
XRP,Iron Condor,2.6497,2.9146700000000005,10,-350.0,False
