symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
XRP-26OCT25-2.425-C-USDT,2.46085905,0.07092496,20.0,20.0,0.62043723,2.95516579,0.0006813,-0.01269304,0.7196,2025-10-24 12:39:11.952538
XRP-26OCT25-1.9-C-USDT,2.46092153,0.56259752,0.0,0.0,0.98455177,0.12794271,6.953e-05,-0.00305292,1.696,2025-10-24 12:39:12.361355
XRP-26OCT25-2.475-P-USDT,2.46092153,0.05748915,0.0,0.0,-0.53448561,3.17131446,0.00071144,-0.01289705,0.7002,2025-10-24 12:39:12.713121
XRP-26OCT25-2.6-P-USDT,2.46092153,0.15322586,0.0,0.0,-0.81644161,1.82873587,0.00047549,-0.00999026,0.8115,2025-10-24 12:39:13.067109
XRP-26OCT25-2.8-C-USDT,2.46092357,0.0046755,0.0,0.0,0.05738622,0.58554357,0.00020591,-0.00585099,1.0975,2025-10-24 12:39:13.421860
XRP-26OCT25-2-C-USDT,2.46092357,0.46348281,0.0,0.0,0.97547651,0.21567288,0.00010295,-0.00397049,1.4897,2025-10-24 12:39:13.785217
XRP-26OCT25-2.5-C-USDT,2.46092357,0.03375228,100.0,100.0,0.3895976,3.02842416,0.00068659,-0.01257855,0.7076,2025-10-24 12:39:14.137957
XRP-26OCT25-2.7-P-USDT,2.46106872,0.24647915,0.0,0.0,-0.90330462,1.00269444,0.00030653,-0.00757128,0.954,2025-10-24 12:39:14.491969
XRP-26OCT25-2.2-C-USDT,2.46106872,0.26762706,0.0,0.0,0.92696887,0.71063852,0.0002483,-0.00701001,1.0904,2025-10-24 12:39:14.844875
XRP-26OCT25-2.35-P-USDT,2.46113994,0.01781585,0.0,0.0,-0.20956375,1.97111764,0.00051528,-0.01088392,0.8158,2025-10-24 12:39:15.198405
XRP-26OCT25-2.9-C-USDT,2.46113994,0.00318287,0.0,0.0,0.03724866,0.36814882,0.00014557,-0.00465007,1.2338,2025-10-24 12:39:15.847484
XRP-26OCT25-2-P-USDT,2.46113752,0.0025573,0.0,0.0,-0.02450043,0.21543744,0.00010287,-0.00396863,1.49,2025-10-24 12:39:16.209420
XRP-26OCT25-2.3-P-USDT,2.46113752,0.01220986,10.0,10.0,-0.14336414,1.40136971,0.00040491,-0.0094526,0.9017,2025-10-24 12:39:16.560860
XRP-26OCT25-2.25-P-USDT,2.46113752,0.00878396,0.0,0.0,-0.10092008,0.99256282,0.00031628,-0.00814265,0.9944,2025-10-24 12:39:16.945192
XRP-26OCT25-2.1-P-USDT,2.46115718,0.00395037,0.0,0.0,-0.04086808,0.38031872,0.00015698,-0.00523501,1.288,2025-10-24 12:39:17.321552
XRP-26OCT25-2.3-C-USDT,2.46115718,0.17336538,0.0,0.0,0.85665623,1.40117957,0.00040487,-0.00945212,0.9017,2025-10-24 12:39:17.682681
XRP-26OCT25-2.425-P-USDT,2.46115718,0.0349666,130.0,130.0,-0.37870944,2.95194252,0.0006809,-0.01268982,0.7198,2025-10-24 12:39:18.037198
XRP-26OCT25-2.4-C-USDT,2.4612432,0.08875058,190.0,1370.0,0.68863642,2.64959292,0.00063278,-0.01220948,0.7452,2025-10-24 12:39:18.391425
XRP-26OCT25-2.4-P-USDT,2.4612432,0.02750738,2810.0,7810.0,-0.31136359,2.64959292,0.00063278,-0.01220948,0.7452,2025-10-24 12:39:18.745401
XRP-26OCT25-1.9-P-USDT,2.4612432,0.00173633,0.0,0.0,-0.01542455,0.12771323,6.945e-05,-0.00305048,1.6966,2025-10-24 12:39:19.100233
XRP-26OCT25-2.6-C-USDT,2.46121138,0.01417895,0.0,0.0,0.18394543,1.83195105,0.00047616,-0.00999935,0.8111,2025-10-24 12:39:19.756642
XRP-26OCT25-2.9-P-USDT,2.46121138,0.44197222,0.0,0.0,-0.96274142,0.36825791,0.0001456,-0.00465083,1.2337,2025-10-24 12:39:20.111055
XRP-26OCT25-2.325-C-USDT,2.46121504,0.15085202,0.0,20.0,0.82738564,1.66435161,0.00045746,-0.0101587,0.8577,2025-10-24 12:39:20.464999
XRP-26OCT25-2.325-P-USDT,2.46121504,0.01463698,0.0,0.0,-0.17261437,1.66435161,0.00045746,-0.0101587,0.8577,2025-10-24 12:39:20.815590
XRP-26OCT25-2.5-P-USDT,2.46121504,0.07263767,0.0,0.0,-0.60955397,3.03076225,0.00068708,-0.01258491,0.7074,2025-10-24 12:39:21.167679
XRP-26OCT25-2.375-P-USDT,2.46121608,0.02195865,0.0,0.0,-0.25511716,2.30629497,0.00057498,-0.0115821,0.778,2025-10-24 12:39:21.518972
XRP-26OCT25-2.25-C-USDT,2.46121608,0.21999573,0.0,0.0,0.89913342,0.99203342,0.00031616,-0.00814094,0.9945,2025-10-24 12:39:21.868765
XRP-26OCT25-2.1-C-USDT,2.46144514,0.36516493,0.0,0.0,0.95914973,0.38014037,0.00015693,-0.00523392,1.2882,2025-10-24 12:39:22.222842
XRP-26OCT25-2.35-C-USDT,2.46144514,0.12920911,0.0,0.0,0.79103935,1.96621725,0.00051448,-0.01087461,0.8164,2025-10-24 12:39:22.576871
XRP-26OCT25-2.7-C-USDT,2.46144514,0.00756424,0.0,0.0,0.09691234,1.00488111,0.00030707,-0.00758007,0.9534,2025-10-24 12:39:22.928089
XRP-26OCT25-2.8-P-USDT,2.46144772,0.34323908,0.0,0.0,-0.94246515,0.58709972,0.00020637,-0.00585963,1.0967,2025-10-24 12:39:23.582569
XRP-26OCT25-2.375-C-USDT,2.46144772,0.10836418,0.0,4000.0,0.74534377,2.30302809,0.00057449,-0.01157674,0.7783,2025-10-24 12:39:23.985270
XRP-26OCT25-2.2-P-USDT,2.46139505,0.00654549,0.0,0.0,-0.07286628,0.70891347,0.00024791,-0.00700318,1.091,2025-10-24 12:39:24.359101
XRP-26OCT25-2.475-C-USDT,2.46139505,0.04362395,500.0,500.0,0.46700816,3.17219164,0.00071178,-0.01290262,0.7001,2025-10-24 12:39:25.098307
XRP-28NOV25-2.4-P-USDT,2.4803,0.17979327,30.0,11030.0,-0.39784757,0.69436967,0.00296017,-0.00306813,0.7242,2025-10-24 12:39:25.448222
XRP-28NOV25-2.3-P-USDT,2.4803,0.13559333,100.0,12100.0,-0.32701423,0.64727919,0.00276858,-0.0028791,0.7266,2025-10-24 12:39:25.798210
XRP-28NOV25-2.3-C-USDT,2.4803,0.31589333,20.0,7020.0,0.67298577,0.64727919,0.00276858,-0.0028791,0.7266,2025-10-24 12:39:26.146492
XRP-28NOV25-3.4-P-USDT,2.4796,0.95956159,0.0,0.0,-0.86452463,0.34179565,0.00166949,-0.00198372,0.8302,2025-10-24 12:39:26.513179
XRP-28NOV25-3.8-P-USDT,2.4796,1.34190614,0.0,0.0,-0.92212923,0.21420049,0.00111733,-0.0014178,0.8865,2025-10-24 12:39:26.864694
XRP-28NOV25-3.6-P-USDT,2.4797,1.14783927,0.0,0.0,-0.90080585,0.26754753,0.00133833,-0.00162843,0.8501,2025-10-24 12:39:27.216970
XRP-28NOV25-2.8-C-USDT,2.4797,0.11852478,100.0,2500.0,0.34442748,0.63283273,0.00282458,-0.00306663,0.7585,2025-10-24 12:39:27.929219
XRP-28NOV25-2.6-C-USDT,2.4798,0.18077474,3530.0,3530.0,0.46574846,0.68643561,0.00304917,-0.00329436,0.7548,2025-10-24 12:39:28.295659
XRP-28NOV25-2-C-USDT,2.4798,0.53398593,0.0,3500.0,0.84472573,0.39987233,0.00183014,-0.00203731,0.7777,2025-10-24 12:39:28.676988
XRP-28NOV25-1.6-P-USDT,2.4798,0.01322128,0.0,0.0,-0.04254198,0.13202015,0.00069494,-0.00088972,0.8945,2025-10-24 12:39:29.028113
XRP-28NOV25-3.8-C-USDT,2.4799,0.01869106,0.0,0.0,0.07067142,0.20496741,0.00103766,-0.00127761,0.8602,2025-10-24 12:39:29.377751
XRP-28NOV25-3.4-C-USDT,2.4799,0.0350744,100.0,1080.0,0.12653255,0.33624789,0.00159274,-0.00183485,0.8049,2025-10-24 12:39:29.732616
XRP-28NOV25-3-P-USDT,2.4799,0.59811282,0.0,160.0,-0.7515894,0.53572283,0.00242964,-0.0026799,0.7706,2025-10-24 12:39:30.090450
XRP-28NOV25-2.5-P-USDT,2.4796,0.24269645,0.0,3500.0,-0.46721008,0.68389024,0.00304986,-0.00330867,0.758,2025-10-24 12:39:30.481172
XRP-28NOV25-2.4-C-USDT,2.4796,0.27116768,1010.0,8010.0,0.60112307,0.65967214,0.00296136,-0.00323396,0.763,2025-10-24 12:39:30.834384
XRP-28NOV25-1.2-P-USDT,2.4796,0.00367245,0.0,0.0,-0.01120654,0.03453183,0.00022577,-0.00035909,1.1112,2025-10-24 12:39:31.183629
XRP-28NOV25-1.6-C-USDT,2.4796,0.89478458,0.0,0.0,0.95344908,0.13779076,0.00074717,-0.00098558,0.9216,2025-10-24 12:39:31.849436
XRP-28NOV25-3-C-USDT,2.4796,0.07795161,24050.0,24040.0,0.24827055,0.53558857,0.00242862,-0.00267896,0.7707,2025-10-24 12:39:32.205146
XRP-28NOV25-2.5-C-USDT,2.4796,0.22229637,14740.0,14730.0,0.5327899,0.68389047,0.00304986,-0.00330867,0.758,2025-10-24 12:39:32.551576
XRP-28NOV25-2.6-P-USDT,2.4796,0.30142477,0.0,3500.0,-0.53419947,0.68547653,0.00304895,-0.00329905,0.756,2025-10-24 12:39:32.908309
XRP-28NOV25-4-C-USDT,2.4796,0.01236848,0.0,0.0,0.04921084,0.153421,0.00078116,-0.00096754,0.8654,2025-10-24 12:39:33.261856
XRP-28NOV25-3.2-C-USDT,2.4796,0.05177857,3600.0,3600.0,0.17703023,0.43044742,0.00199184,-0.00224216,0.7865,2025-10-24 12:39:33.624071
XRP-28NOV25-4-P-USDT,2.4796,1.53276848,0.0,0.0,-0.95078917,0.153421,0.00078116,-0.00096754,0.8654,2025-10-24 12:39:34.031201
XRP-28NOV25-1.2-C-USDT,2.4793,1.2827303,0.0,0.0,0.98934787,0.03337824,0.000216,-0.0003401,1.1001,2025-10-24 12:39:34.401681
XRP-28NOV25-1.4-P-USDT,2.4793,0.00739809,0.0,0.0,-0.02300959,0.07078129,0.00041808,-0.00060088,1.0041,2025-10-24 12:39:34.754782
XRP-28NOV25-1.4-C-USDT,2.4793,1.08669809,0.0,0.0,0.97699041,0.07078129,0.00041808,-0.00060088,1.0041,2025-10-24 12:39:35.127586
XRP-28NOV25-2.2-C-USDT,2.4794,0.3872753,0.0,3500.0,0.73364958,0.56017746,0.0025188,-0.00275558,0.7643,2025-10-24 12:39:35.786854
XRP-28NOV25-3.2-P-USDT,2.4794,0.77304994,0.0,0.0,-0.82169006,0.4305046,0.00200075,-0.00226234,0.79,2025-10-24 12:39:36.150263
XRP-28NOV25-1.8-P-USDT,2.4794,0.0299024,0.0,10.0,-0.08867827,0.24627061,0.00123193,-0.00149938,0.8503,2025-10-24 12:39:36.533821
XRP-28NOV25-2.8-P-USDT,2.4794,0.43863794,0.0,0.0,-0.65618198,0.63362393,0.00282236,-0.00305875,0.7572,2025-10-24 12:39:36.894017
XRP-28NOV25-1.8-C-USDT,2.4794,0.7093024,0.0,0.0,0.91132173,0.24627061,0.00123193,-0.00149938,0.8503,2025-10-24 12:39:37.248129
XRP-28NOV25-2-P-USDT,2.4794,0.05756614,3500.0,3500.0,-0.1596206,0.39806622,0.00186335,-0.00212219,0.7957,2025-10-24 12:39:37.951328
XRP-28NOV25-3.6-C-USDT,2.4794,0.02764369,0.0,0.0,0.09943244,0.26773409,0.00134052,-0.00163302,0.8511,2025-10-24 12:39:38.336250
XRP-28NOV25-2.2-P-USDT,2.4794,0.10617529,3500.0,11600.0,-0.26521377,0.56394991,0.00251334,-0.00272531,0.7576,2025-10-24 12:39:38.702115
XRP-14NOV25-2.7-C-USDT,2.455,0.11657825,0.0,0.0,0.36596312,0.72265652,0.0022117,-0.00467851,0.8856,2025-10-24 12:39:39.050319
XRP-14NOV25-2.2-P-USDT,2.455,0.09356891,0.0,0.0,-0.26574146,0.6339538,0.00192834,-0.00405412,0.8801,2025-10-24 12:39:39.400817
XRP-14NOV25-3-P-USDT,2.455,0.60415833,0.0,0.0,-0.78730354,0.53540131,0.00170703,-0.00376174,0.9225,2025-10-24 12:39:40.056725
XRP-14NOV25-2.5-P-USDT,2.4551,0.22914905,10.0,10.0,-0.49300661,0.7784084,0.00234509,-0.00488274,0.8717,2025-10-24 12:39:40.406311
XRP-14NOV25-1.4-P-USDT,2.4551,0.00349864,0.0,0.0,-0.01367593,0.05251862,0.00020562,-0.00055635,1.1327,2025-10-24 12:39:40.756884
XRP-14NOV25-1.6-P-USDT,2.4551,0.008507,0.0,0.0,-0.03246576,0.11894435,0.00042704,-0.00105961,1.0388,2025-10-24 12:39:41.110381
XRP-14NOV25-2.3-C-USDT,2.4551,0.28489781,0.0,0.0,0.66158995,0.71302794,0.00215031,-0.00448177,0.8725,2025-10-24 12:39:41.470991
XRP-14NOV25-3.2-P-USDT,2.4551,0.78346353,0.0,0.0,-0.85270861,0.41146018,0.00135418,-0.00308021,0.9522,2025-10-24 12:39:41.830021
XRP-14NOV25-3.6-C-USDT,2.455,0.01766549,0.0,0.0,0.07291138,0.23230143,0.00081443,-0.00197352,1.0144,2025-10-24 12:39:42.208960
XRP-14NOV25-3.2-C-USDT,2.455,0.03855299,0.0,0.0,0.14725981,0.41140442,0.00135393,-0.00307974,0.9523,2025-10-24 12:39:42.922216
XRP-14NOV25-3-C-USDT,2.4552,0.05919083,100040.0,100040.0,0.2127847,0.53552151,0.00170758,-0.00376272,0.9225,2025-10-24 12:39:43.273669
XRP-14NOV25-1.8-C-USDT,2.4552,0.67524063,0.0,0.0,0.92774694,0.24255048,0.00080886,-0.00186405,0.9648,2025-10-24 12:39:43.627301
