instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
ETH-27MAR26-1600-P,1600.0,1774598400000,put,4017.78,0.0064,84.47,0.006,0.007,3946.0,125.0,"{'delta': -0.02529, 'gamma': 3e-05, 'vega': 1.53751, 'theta': -0.42313, 'rho': -0.53593}",2025-10-25T00:01:03.555099
ETH-27MAR26-1800-C,1800.0,1774598400000,call,4017.78,0.5617,81.54,0.56,0.5635,752.0,0.0,"{'delta': 0.96271, 'gamma': 4e-05, 'vega': 2.12028, 'theta': -0.56331, 'rho': 6.77418}",2025-10-25T00:01:03.808136
ETH-27MAR26-1800-P,1800.0,1774598400000,put,4017.78,0.0097,81.54,0.0095,0.01,4008.0,0.0,"{'delta': -0.03729, 'gamma': 4e-05, 'vega': 2.12028, 'theta': -0.56331, 'rho': -0.79359}",2025-10-25T00:01:04.062108
ETH-27MAR26-2000-C,2000.0,1774598400000,call,4017.78,0.5161,78.76,0.515,0.518,1781.0,0.0,"{'delta': 0.94752, 'gamma': 5e-05, 'vega': 2.79222, 'theta': -0.71654, 'rho': 7.28718}",2025-10-25T00:01:04.323142
ETH-27MAR26-2000-P,2000.0,1774598400000,put,4017.78,0.0139,78.76,0.0135,0.0145,4292.0,25.0,"{'delta': -0.05248, 'gamma': 5e-05, 'vega': 2.79222, 'theta': -0.71654, 'rho': -1.12145}",2025-10-25T00:01:04.588130
ETH-27MAR26-2200-C,2200.0,1774598400000,call,4017.86,0.4723,76.8,0.4705,0.474,8943.0,0.0,"{'delta': 0.92764, 'gamma': 7e-05, 'vega': 3.58807, 'theta': -0.89786, 'rho': 7.6918}",2025-10-25T00:01:04.836521
ETH-27MAR26-2200-P,2200.0,1774598400000,put,4017.86,0.0199,76.8,0.019,0.0205,3092.0,0.0,"{'delta': -0.07236, 'gamma': 7e-05, 'vega': 3.58807, 'theta': -0.89786, 'rho': -1.5577}",2025-10-25T00:01:05.085263
ETH-27MAR26-2400-C,2400.0,1774598400000,call,4017.86,0.4299,74.88,0.428,0.4315,11993.0,0.0,"{'delta': 0.9039, 'gamma': 9e-05, 'vega': 4.44082, 'theta': -1.0834, 'rho': 8.00658}",2025-10-25T00:01:05.349759
ETH-27MAR26-2400-P,2400.0,1774598400000,put,4017.86,0.0273,74.88,0.0265,0.028,4536.0,25.0,"{'delta': -0.0961, 'gamma': 9e-05, 'vega': 4.44082, 'theta': -1.0834, 'rho': -2.08378}",2025-10-25T00:01:05.604122
ETH-27MAR26-2500-C,2500.0,1774598400000,call,4017.89,0.4094,74.02,0.408,0.411,1639.0,0.0,"{'delta': 0.89037, 'gamma': 0.0001, 'vega': 4.88681, 'theta': -1.17862, 'rho': 8.12416}",2025-10-25T00:01:05.856305
