timestamp,open,high,low,close,volume,turnover
2021-12-01 00:00:00,4631.55,4735.05,4605.0,4725.65,8320.57,38959659.149
2021-12-01 01:00:00,4725.65,4725.9,4682.2,4692.65,4174.73,19627422.4025
2021-12-01 02:00:00,4692.65,4752.45,4663.85,4752.45,4865.75,22914326.5225
2021-12-01 03:00:00,4752.45,4773.1,4722.0,4759.95,5587.75,26536443.015
2021-12-01 04:00:00,4759.95,4762.0,4716.25,4728.75,3152.85,14935242.532
2021-12-01 05:00:00,4728.75,4735.75,4700.1,4702.55,3091.11,14581434.468
2021-12-01 06:00:00,4702.55,4748.85,4687.55,4730.0,4707.48,22205531.3975
2021-12-01 07:00:00,4730.0,4785.8,4718.6,4767.2,4479.43,21324401.1895
2021-12-01 08:00:00,4767.2,4771.1,4695.0,4705.0,6801.94,32193626.6235
2021-12-01 09:00:00,4705.0,4748.75,4683.8,4744.05,5331.86,25125830.127
2021-12-01 10:00:00,4744.05,4750.0,4701.4,4725.9,3366.71,15887166.964
2021-12-01 11:00:00,4725.9,4730.95,4650.0,4675.55,6003.93,28145329.4185
2021-12-01 12:00:00,4675.55,4724.65,4659.25,4668.35,5220.08,24497379.3835
2021-12-01 13:00:00,4668.35,4723.95,4666.0,4681.15,3741.56,17573109.581
2021-12-01 14:00:00,4681.15,4761.2,4681.0,4745.4,5817.78,27542164.6835
2021-12-01 15:00:00,4745.4,4764.95,4713.35,4729.95,4976.91,23582925.1805
2021-12-01 16:00:00,4729.95,4759.95,4696.4,4700.3,3242.68,15335064.5655
2021-12-01 17:00:00,4700.3,4711.15,4675.1,4675.55,3882.72,18229381.267
2021-12-01 18:00:00,4675.55,4691.95,4640.0,4649.05,4296.25,20057509.557
2021-12-01 19:00:00,4649.05,4677.5,4598.3,4661.55,5480.83,25412938.622
2021-12-01 20:00:00,4661.55,4662.45,4559.0,4567.35,7047.03,32425816.047
2021-12-01 21:00:00,4567.35,4595.85,4535.0,4570.0,6898.46,31472451.4385
2021-12-01 22:00:00,4570.0,4592.0,4529.15,4567.65,4979.8,22723892.3465
2021-12-01 23:00:00,4567.65,4596.75,4561.4,4587.3,4070.68,18651268.2475
