entry,exit,side,pnl,capital
79800.0,90219.0,LONG,65.28195488721803,10065.281954887218
90219.0,91207.8,LONG,5.5157731724983154,10070.797728059715
91207.8,93280.5,LONG,11.442959073099747,10082.240687132815
93280.5,99144.5,LONG,31.690578089389977,10113.931265222205
99144.5,94721.9,LONG,-22.557919205589712,10091.373346016615
92658.1,96725.7,SHORT,-22.150071187654987,10069.22327482896
97061.1,95512.3,LONG,-8.03370918321301,10061.189565645747
96682.1,99454.4,LONG,14.424922417303508,10075.61448806305
99454.4,97213.9,LONG,-11.349127972470434,10064.26536009058
97300.1,101842.6,SHORT,-23.492743274781557,10040.772616815799
101842.6,106833.4,LONG,24.602419800753403,10065.375036616551
106833.4,97783.8,LONG,-42.630683817684854,10022.744352798867
92681.1,95891.3,SHORT,-17.357915433327236,10005.38643736554
95891.3,95659.0,SHORT,1.211919782816608,10006.598357148356
95659.0,94975.1,SHORT,3.577035415618866,10010.175392563975
94975.1,93393.3,SHORT,8.335919328306959,10018.511311892282
93393.3,97848.4,SHORT,-23.895434547023832,9994.615877345257
97848.4,100796.4,LONG,15.056008890494796,10009.671886235752
100796.4,95019.8,LONG,-28.682507816761987,9980.98937841899
95019.8,90811.9,SHORT,22.100133448738763,10003.089511867729
90811.9,99125.7,SHORT,-45.78898006966376,9957.300531798066
99125.7,104344.9,LONG,26.213758357096314,9983.514290155163
104344.9,105112.6,LONG,3.672601114454197,9987.186891269617
105112.6,104619.1,LONG,-2.3444747493837825,9984.842416520234
104619.1,102703.8,LONG,-9.139807492303621,9975.70260902793
102703.8,104675.0,SHORT,-9.573211985786225,9966.129397042145
104675.0,95052.3,LONG,-45.80896744634221,9920.320429595802
95052.3,98829.0,SHORT,-19.708136555588048,9900.612293040214
97292.6,96447.5,SHORT,4.299919751783971,9904.912212791998
96447.5,95767.2,SHORT,3.493253727863566,9908.405466519862
95767.2,97599.3,SHORT,-9.477769870692208,9898.927696649169
97599.3,95518.1,LONG,-10.554198812013109,9888.373497837156
95518.1,98074.8,SHORT,-13.233933946508685,9875.139563890647
98074.8,94376.8,LONG,-18.617558285751088,9856.522005604897
94376.8,85480.0,SHORT,46.458189395839696,9902.980195000737
85480.0,87416.7,SHORT,-11.21847317715132,9891.761721823585
85532.1,88495.2,SHORT,-17.134081332000136,9874.627640491584
88495.2,82545.7,LONG,-33.19338062804801,9841.434259863536
82545.7,82868.8,SHORT,-1.9260648400594857,9839.508195023476
80999.9,83273.5,SHORT,-13.809341636351055,9825.698853387124
83273.5,84694.6,LONG,8.384000096398315,9834.082853483524
84694.6,84067.1,LONG,-3.6430226900893983,9830.439830793433
84632.8,87919.5,LONG,19.088170657161733,9849.528001450595
87919.5,82245.0,LONG,-31.78540974654735,9817.742591704047
82370.7,85250.0,SHORT,-17.15915139988703,9800.58344030416
82468.1,83496.7,SHORT,-6.111987621090321,9794.47145268307
82988.9,77653.9,SHORT,31.482225454286166,9825.953678137357
77653.9,83684.8,SHORT,-38.156064304225985,9787.79761383313
83481.1,85549.9,LONG,12.127892243572418,9799.925506076703
85549.9,84627.3,LONG,-5.28429096463367,9794.64121511207
84627.3,86940.4,LONG,13.385742304596532,9808.026957416665
86940.4,92577.5,LONG,31.79697169650332,9839.823929113169
92577.5,93866.0,LONG,6.847567245098603,9846.671496358267
94396.1,94100.0,LONG,-1.544343161460982,9845.127153196807
94738.5,95674.0,LONG,4.860809729843523,9849.98796292665
94351.2,103598.9,SHORT,-48.27163495787906,9801.716327968772
103598.9,104434.5,LONG,3.952896296992904,9805.669224265765
104434.5,101729.2,LONG,-12.700437572069672,9792.968786693695
103191.8,105484.4,LONG,10.87846138955512,9803.84724808325
105484.4,108941.9,LONG,16.067210819916422,9819.914458903166
108941.9,108896.7,LONG,-0.20371415109447996,9819.710744752072
108976.2,107738.9,LONG,-5.574578717408833,9814.136166034663
108741.4,104040.0,SHORT,21.21555349250392,9835.351719527167
104040.0,105056.6,SHORT,-4.805180006762484,9830.546539520405
105056.6,105093.7,SHORT,-0.173579421291057,9830.372960099114
105511.4,107567.2,LONG,9.57682332495436,9839.949783424068
104780.6,104192.3,SHORT,2.7623636711320647,9842.7121470952
104192.3,104166.3,SHORT,0.12280682729168817,9842.834953922493
104166.3,101382.3,SHORT,13.153223504972443,9855.988177427465
101382.3,107251.2,SHORT,-28.527567935677133,9827.460609491789
107251.2,107693.5,LONG,2.026404286188988,9829.487013777978
107693.5,108712.4,LONG,4.649892666845411,9834.136906444823
108712.4,108017.2,LONG,-3.144393821385791,9830.992512623438
108860.0,109009.9,LONG,0.6768628410996675,9831.669375464537
109009.9,117066.3,LONG,36.330581514382,9867.999956978918
117066.3,116430.6,LONG,-2.679288391557378,9865.320668587361
118776.1,118330.4,LONG,-1.850950410894743,9863.469718176466
118052.4,118398.9,SHORT,-1.4475318830231938,9862.022186293443
118398.9,117322.8,LONG,-4.481681026880439,9857.540505266563
117322.8,118889.8,SHORT,-6.583019656772897,9850.95748560979
118889.8,115012.4,LONG,-16.063658343568367,9834.893827266222
115012.4,114615.1,SHORT,1.6986878447770657,9836.592515110999
113925.4,116776.2,SHORT,-12.307245768756777,9824.285269342241
116776.2,121530.2,LONG,19.997504701494403,9844.282774043735
121530.2,121772.0,LONG,0.9793234828724893,9845.262097526607
121772.0,117944.9,LONG,-15.471045303289813,9829.791052223318
117944.9,113453.9,SHORT,18.71449787804938,9848.505550101367
113453.9,115788.4,SHORT,-10.132457415175523,9838.373092686192
114420.1,111961.2,SHORT,10.571383698146638,9848.944476384338
111184.3,108780.7,SHORT,10.645802934154128,9859.590279318492
108780.7,111217.7,SHORT,-11.044156505105763,9848.546122813386
110413.7,110715.8,LONG,1.3473173092206772,9849.893440122607
111248.3,112267.2,LONG,4.510656084695617,9854.404096207303
