pnl,capital
500.0,10500.0
-49.777117384843976,10450.222882615157
33.953001959307215,10484.175884574464
-262.10439711436163,10222.071487460104
-255.5517871865026,9966.5197002736
249.16299250684003,10215.68269278044
-255.392067319511,9960.290625460928
-249.00726563652321,9711.283359824405
485.5641679912203,10196.847527815626
509.8423763907813,10706.689904206407
-267.6672476051602,10439.022656601246
-260.97556641503115,10178.047090186215
508.9023545093108,10686.949444695527
534.3474722347763,11221.296916930303
-10.111955875314875,11211.184961054989
560.5592480527495,11771.74420910774
-294.2936052276935,11477.450603880046
286.9362650970012,11764.386868977048
294.1096717244262,12058.496540701473
-301.46241351753685,11757.034127183937
293.92585317959845,12050.959980363536
22.757289269058152,12073.717269632594
-301.8429317408149,11771.874337891779
-294.2968584472945,11477.577479444484
-286.9394369861121,11190.638042458371
559.5319021229186,11750.16994458129
587.5084972290646,12337.678441810354
308.4419610452589,12646.120402855613
-45.313221239470835,12600.807181616143
315.0201795404036,12915.827361156546
645.7913680578273,13561.618729214373
-339.04046823035935,13222.578260984013
661.1289130492007,13883.707174033214
694.1853587016608,14577.892532734875
27.39149203973117,14605.284024774606
-365.1321006193652,14240.151924155241
-60.56469272691572,14179.587231428326
708.9793615714163,14888.566592999743
-62.24843457401123,14826.318158425733
7.571471668648239,14833.889630094382
370.84724075235954,15204.73687084674
-380.1184217711685,14824.618449075571
41.56738579368397,14866.185834869255
-371.6546458717314,14494.531188997524
-362.36327972493814,14132.167909272586
65.2134464958193,14197.381355768406
69.85921679978925,14267.240572568195
51.46417097646281,14318.704743544658
-357.96761858861646,13960.737124956042
698.0368562478021,14658.773981203844
-366.4693495300961,14292.304631673747
714.6152315836874,15006.919863257435
375.1729965814359,15382.092859838871
769.1046429919436,16151.197502830815
-403.7799375707704,15747.417565260044
-393.68543913150114,15353.732126128543
383.8433031532136,15737.575429281756
-393.43938573204395,15344.136043549712
-383.6034010887428,14960.532642460968
-374.0133160615242,14586.519326399444
729.3259663199723,15315.845292719416
-382.8961323179854,14932.949160401431
746.6474580200716,15679.596618421503
31.76607934134762,15711.36269776285
-392.7840674440713,15318.578630318778
-382.9644657579695,14935.614164560808
-373.3903541140202,14562.223810446787
-364.0555952611697,14198.168215185617
-354.9542053796404,13843.214009805975
-346.0803502451494,13497.133659560826
674.8566829780414,14171.990342538867
708.5995171269434,14880.589859665812
744.0294929832907,15624.619352649102
-390.6154838162276,15234.003868832875
-380.8500967208219,14853.153772112053
742.6576886056027,15595.811460717656
779.7905730358829,16375.60203375354
818.780101687677,17194.382135441218
-429.8595533860305,16764.522582055186
22.47692254356991,16786.999504598756
419.6749876149689,17206.674492213726
-430.16686230534316,16776.50762990838
838.8253814954192,17615.3330114038
880.76665057019,18496.09966197399
-462.40249154934975,18033.69717042464
901.684858521232,18935.38202894587
946.7691014472936,19882.151130393166
994.1075565196584,20876.258686912824
1043.8129343456412,21920.071621258467
1096.0035810629233,23016.07520232139
575.4018800580347,23591.477082379424
-85.42360956463767,23506.053472814787
1175.3026736407394,24681.356146455528
-617.0339036613882,24064.32224279414
104.69364931732876,24169.015892111467
1208.4507946055735,25377.46668671704
1268.8733343358522,26646.340021052893
-125.77905128053533,26520.560969772356
1326.028048488618,27846.589018260973
1392.3294509130487,29238.918469174023
1461.9459234587011,30700.864392632724
-767.5216098158181,29933.342782816904
-748.3335695704227,29185.00921324648
1459.2504606623243,30644.259673908804
-766.1064918477201,29878.153182061083
-746.9538295515272,29131.199352509557
1456.5599676254778,30587.759320135036
-764.6939830033759,29823.06533713166
745.5766334282915,30568.64197055995
23.4108520059225,30592.052822565875
1529.6026411282937,32121.65546369417
-803.0413865923542,31318.614077101814
1565.9307038550908,32884.54478095691
-822.1136195239228,32062.431161432985
1603.1215580716494,33665.55271950464
1683.277635975232,35348.83035547987
-883.7207588869968,34465.109596592876
-861.627739914822,33603.48185667805
27.190358138696297,33630.67221481675
12.30170416402557,33642.97391898077
1682.1486959490387,35325.12261492981
1766.2561307464905,37091.3787456763
927.2844686419076,38018.66321431821
1900.9331607159104,39919.59637503412
1995.979818751706,41915.576193785826
2095.7788096892914,44011.35500347512
2200.567750173756,46211.922753648876
2310.596137682444,48522.51889133132
1213.062972283283,49735.5818636146
2486.7790931807303,52222.36095679533
2611.118047839767,54833.4790046351
-70.95706389696949,54762.52194073813
2738.1260970369067,57500.648037775034
-1437.516200944376,56063.13183683066
12.092166593890868,56075.22400342455
2803.7612001712278,58878.985203595774
82.36219370601758,58961.34739730179
2948.06736986509,61909.414767166876
-1547.735369179172,60361.679397987704
175.9916332779198,60537.67103126562
3026.8835515632813,63564.5545828289
3178.2277291414453,66742.78231197035
-1668.569557799259,65074.212754171094
268.56594514950416,65342.778699320595
-1633.569467483015,63709.20923183758
-1592.7302307959396,62116.47900104164
1552.911975026041,63669.39097606768
-1591.7347744016922,62077.65620166599
3103.8828100833,65181.539011749286
3259.0769505874646,68440.61596233676
-268.0705548088844,68172.54540752787
3408.6272703763934,71581.17267790427
1789.5293169476067,73370.70199485187
3668.535099742594,77039.23709459447
-1925.9809273648618,75113.25616722961
3755.662808361481,78868.91897559109
-1971.7229743897774,76897.19600120132
-1922.429900030033,74974.76610117128
1874.369152529282,76849.13525370056
1921.228381342514,78770.36363504308
3938.518181752154,82708.88181679523
4135.444090839762,86844.325907635
4342.21629538175,91186.54220301674
4559.327110150837,95745.86931316758
4787.293465658379,100533.16277882596
5026.658138941299,105559.82091776727
-2638.995522944182,102920.82539482308
394.20357387613524,103315.02896869922
220.2172043691309,103535.24617306834
5176.762308653418,108712.00848172176
-2717.800212043044,105994.20826967871
5299.710413483936,111293.91868316264
237.11062909963746,111531.02931226228
5576.5514656131145,117107.5807778754
5855.3790388937705,122962.95981676917
3074.0739954192295,126037.0338121884
6301.85169060942,132338.8855027978
6616.944275139891,138955.8297779377
-3473.8957444484427,135481.93403348926
-3387.0483508372317,132094.88568265204
6604.744284132602,138699.62996678465
6934.9814983392325,145634.6114651239
7281.7305732561945,152916.3420383801
3822.9085509595025,156739.2505893396
-3918.4812647334898,152820.7693246061
-3.1128196790769973,152817.65650492703
7640.882825246352,160458.53933017337
-725.9807369261605,159732.5585932472
7986.627929662361,167719.18652290956
632.7465303416387,168351.93305325118
4208.79832633128,172560.73137958246
8628.036568979123,181188.76794856158
-4529.7191987140395,176659.04874984754
8832.952437492377,185492.00118733992
9274.600059366996,194766.6012467069
352.8012611198429,195119.40250782674
9755.970125391337,204875.37263321807
10243.768631660903,215119.14126487897
5377.978531621975,220497.11979650095
646.1433206883936,221143.26311718934
11057.163155859467,232200.4262730488
-851.6056250845326,231348.82064796425
-505.373637337786,230843.44701062646
5771.086175265662,236614.53318589213
11830.726659294607,248445.25984518672
12422.262992259337,260867.52283744607
6521.688070936152,267389.2109083822
13369.460545419111,280758.67145380133
1184.7071554503643,281943.3786092517
1294.6421702100704,283238.0207794618
14161.90103897309,297399.92181843484
7434.998045460871,304834.9198638957
15241.745993194785,320076.6658570905
-516.252686866275,319560.41317022423
-380.3950994497209,319180.0180707745
398.1692039614034,319578.1872747359
308.0178908102632,319886.20516554615
-1146.9223645721577,318739.282800974
-7968.48207002435,310770.8007309496
-7769.270018273741,303001.5307126759
7575.038267816897,310576.56898049277
408.61783279662086,310985.1868132894
-7774.629670332236,303210.5571429572
15160.52785714786,318371.085000105
7959.277125002626,326330.36212510767
8158.259053127692,334488.62117823533
-8362.215529455883,326126.4056487795
1140.770041073389,327267.17568985285
16363.358784492644,343630.5344743455
17181.526723717277,360812.0611980628
80.87227974716322,360892.93347780994
1193.196061053864,362086.1295388638
-9052.153238471596,353033.9763003922
-8825.849407509804,344208.1268928824
-8605.20317232206,335602.9237205603
16780.146186028018,352383.06990658835
-8809.576747664709,343573.49315892364
243.5242886392766,343817.0174475629
375.74487760374313,344192.7623251666
-8604.819058129166,335587.94326703745
-285.2163931345059,335302.72687390295
16765.136343695147,352067.8632175981
68.22798170798887,352136.09119930613
-8803.402279982654,343332.6889193235
17166.634445966174,360499.32336528966
18024.966168264484,378524.28953355417
18926.21447667771,397450.5040102319
9936.262600255797,407386.76661048766
169.95946457713472,407556.7260750648
20377.83630375324,427934.56237881805
-10698.364059470452,417236.1983193476
20861.80991596738,438098.008235315
21904.90041176575,460002.9086470807
23000.14543235404,483003.0540794347
1459.2910372565382,484462.34511669126
-12111.558627917282,472350.786488774
-11808.76966221935,460542.01682655467
2275.542888424032,462817.5597149787
-15.812268171034097,462801.7474468076
23140.087372340382,485941.834819148
634.2322017742263,486576.0670209222
-12164.401675523055,474411.6653453992
2267.634389508459,476679.29973490763
2320.2392545891034,478999.5389894967
11974.988474737418,490974.52746423415
508.7689079900047,491483.29637222417
867.1822341202402,492350.47860634443
532.3146334181057,492882.79323976254
12322.069830994064,505204.8630707566
874.000412285368,506078.863483042
12651.97158707605,518730.835070118
959.6606788486044,519690.49574896664
-12992.262393724166,506698.23335524247
25334.911667762124,532033.1450230046
13300.828625575115,545333.9736485798
888.4956606670703,546222.4693092469
-13655.561732731172,532566.9075765157
1451.2121359400694,534018.1197124558
1750.399470362361,535768.5191828181
13394.212979570453,549162.7321623886
-1842.8072898015532,547319.9248725871
27365.996243629357,574685.9211162165
-858.4519983478676,573827.4691178686
-14345.686727946715,559481.7823899218
-13987.044559748047,545494.7378301738
-13637.368445754346,531857.3693844194
13296.434234610486,545153.8036190299
-13628.845090475748,531524.9585285542
-13288.123963213855,518236.8345653403
