entry_price,exit_price,direction,pnl_pct,pnl_dollars,capital
108396.1,108773.5,BEARISH,-0.06963350157431755,-34.816750787158774,9965.183249212841
108773.5,107366.7,BEARISH,0.5,249.12958123032104,10214.312830443163
107366.7,110280.6,BEARISH,-0.5,-255.3578207610791,9958.955009682084
110280.6,110974.6,BULLISH,0.1258607588279353,62.672081732592744,10021.627091414677
110974.6,110872.1,BULLISH,-0.018472695553757343,-9.256323310649503,10012.370768104027
109800.0,110520.0,BEARISH,-0.13114754098360656,-65.65489028264936,9946.715877821378
110883.5,111021.7,BEARISH,-0.024927063088736753,-12.397120710609654,9934.318757110768
111160.0,112348.8,BULLISH,0.5,248.3579689277692,10182.676726038537
112348.8,110900.1,BULLISH,-0.5,-254.56691815096343,9928.109807887573
111377.3,113765.4,BEARISH,-0.5,-248.20274519718933,9679.907062690383
113765.4,115331.5,BULLISH,0.5,241.9976765672596,9921.904739257643
115331.5,115833.3,BULLISH,0.0870187242860802,43.16957464491067,9965.074313902554
115833.3,115799.8,BULLISH,-0.005784174326381101,-2.8819863503477463,9962.192327552206
115799.8,115320.0,BULLISH,-0.08286715521097668,-41.276926892443484,9920.915400659762
115320.0,114988.0,BEARISH,0.05757891085674645,28.56177517359557,9949.477175833357
114988.0,116623.3,BEARISH,-0.5,-248.73692939583395,9700.740246437523
116623.3,116914.1,BULLISH,0.04986996595020084,24.188779289079108,9724.929025726602
116914.1,117062.8,BULLISH,0.0254374793117335,12.368884044999852,9737.297909771602
115816.0,115958.3,BEARISH,-0.02457346135249066,-11.963955693173027,9725.333954078429
115658.3,115488.7,BEARISH,0.029327769818509493,14.261117780667348,9739.595071859096
115488.7,112372.7,BEARISH,1.0,486.9797535929548,10226.574825452051
112372.7,111712.8,BEARISH,0.11744845500730947,60.05477066329945,10286.62959611535
111712.8,113599.5,BEARISH,-0.5,-257.1657399028838,10029.463856212466
113599.5,109712.4,BULLISH,-0.5,-250.73659640531164,9778.727259807154
109712.4,109674.5,BEARISH,0.006908972914637577,3.3780480888817883,9782.105307896036
109111.5,109380.0,BEARISH,-0.04921571053463658,-24.07166316263717,9758.0336447334
109428.7,110786.8,BULLISH,0.5,243.950841118335,10001.984485851734
110786.8,114110.4,BULLISH,1.0,500.0992242925867,10502.08371014432
114110.4,114121.9,BULLISH,0.002015591918002215,1.0583957524174805,10503.142105896737
114121.9,117499.9,BULLISH,1.0,525.1571052948369,11028.299211191574
117499.9,120074.9,BULLISH,1.0,551.4149605595787,11579.714171751153
120074.9,122237.1,BULLISH,0.5,289.49285429377886,11869.207026044933
122237.1,122157.5,BULLISH,-0.013023869185379204,-7.7291499820696465,11861.477876062863
122157.5,122697.8,BULLISH,0.08845957063626923,52.46306200140638,11913.94093806427
123990.1,124652.8,BULLISH,0.10689563118345692,63.67741182284035,11977.61834988711
124863.9,122604.3,BULLISH,-0.5,-299.4404587471778,11678.177891139932
122479.4,121609.0,BEARISH,0.14213002349782808,82.99098490397675,11761.168876043908
121040.4,113157.1,BEARISH,1.0,588.0584438021955,12349.227319846104
113157.1,110060.1,BEARISH,1.0,617.4613659923052,12966.68868583841
110060.1,115284.2,BEARISH,-0.5,-324.16721714596025,12642.52146869245
115284.2,113560.2,BULLISH,-0.5,-316.06303671731126,12326.45843197514
111230.6,112496.3,BEARISH,-0.5,-308.1614607993785,12018.296971175761
112496.3,111102.0,BEARISH,0.5,300.45742427939405,12318.754395455155
110787.5,105791.9,BEARISH,1.0,615.9377197727578,12934.692115227912
105791.9,106853.2,BEARISH,-0.5,-323.3673028806978,12611.324812347215
106610.5,108589.5,BEARISH,-0.5,-315.2831203086804,12296.041692038534
108589.5,110640.9,BULLISH,0.5,307.40104230096335,12603.442734339498
110640.9,112533.2,BULLISH,0.5,315.08606835848747,12918.528802697985
109007.1,107141.8,BEARISH,0.5,322.96322006744964,13241.492022765435
