symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-26DEC25-170000-P,112413.79,57831.02143917,0.01,0.0,-0.9707804,2.86e-06,31.1247427,-12.27965767,0.4983,2025-10-24 07:36:46.481463
BTC-26DEC25-300000-P,112413.79,187589.83327314,0.0,0.0,-0.9995373,6e-08,0.77336032,-0.41840365,0.6833,2025-10-24 07:36:46.858212
BTC-26DEC25-80000-P,112413.79,768.81256664,2.51,0.0,-0.06063431,4.5e-06,56.15641688,-25.42246755,0.5717,2025-10-24 07:36:47.193288
BTC-26DEC25-150000-P,112413.89,38323.30112402,0.0,0.0,-0.91924224,6.91e-06,70.00606562,-25.69274382,0.4635,2025-10-24 07:36:47.526074
BTC-26DEC25-350000-C,112413.89,1.36009507,7.35,0.0,0.0001725,2e-08,0.30855463,-0.17882124,0.7319,2025-10-24 07:36:47.855571
BTC-26DEC25-90000-P,112413.89,1691.76032558,13.51,0.01,-0.12718395,8.61e-06,97.41641699,-39.96339303,0.5181,2025-10-24 07:36:48.186309
BTC-26DEC25-70000-P,112412.44,342.45585275,0.04,0.0,-0.0273449,2.12e-06,29.45310102,-14.84798242,0.6367,2025-10-24 07:36:48.512723
BTC-26DEC25-150000-C,112412.44,737.10746237,4.67,0.0,0.08075021,6.91e-06,70.00020675,-25.69086536,0.4635,2025-10-24 07:36:48.843300
BTC-26DEC25-60000-C,112412.44,52562.02808384,0.01,0.0,0.98821673,9.3e-07,14.37415874,-8.12096713,0.7135,2025-10-24 07:36:49.174725
BTC-26DEC25-180000-P,112405.2,67745.90387052,0.0,0.0,-0.98153666,1.88e-06,21.1491394,-8.64185587,0.5161,2025-10-24 07:36:49.513354
BTC-26DEC25-130000-P,112405.2,20254.7917313,3.5,0.0,-0.75978698,1.517e-05,145.40835408,-50.52305043,0.4388,2025-10-24 07:36:50.141472
BTC-26DEC25-350000-P,112391.97,237609.38882423,0.0,0.0,-0.99982765,2e-08,0.30826368,-0.17867263,0.732,2025-10-24 07:36:50.476132
BTC-26DEC25-140000-C,112391.97,1373.19271385,2.07,0.0,0.13929442,1.058e-05,103.68896369,-36.84702829,0.4488,2025-10-24 07:36:50.808957
BTC-26DEC25-100000-P,112391.97,3597.89010576,2.06,0.02,-0.24560327,1.413e-05,147.14744051,-55.54124492,0.4767,2025-10-24 07:36:51.160413
BTC-26DEC25-110000-C,112392.01,9533.04904386,1.8,0.0,0.5825973,1.858e-05,182.47834562,-64.96082614,0.4496,2025-10-24 07:36:51.492542
BTC-26DEC25-300000-C,112392.01,3.61958654,2.18,0.0,0.0004623,6e-08,0.77257797,-0.41803151,0.6833,2025-10-24 07:36:51.825706
BTC-26DEC25-60000-P,112392.01,149.7383638,4.29,0.0,-0.01179678,9.3e-07,14.38582732,-8.12684858,0.7134,2025-10-24 07:36:52.163124
BTC-26DEC25-80000-C,112389.3,33159.20187702,0.01,0.0,0.93927504,4.5e-06,56.20980162,-25.4435341,0.5717,2025-10-24 07:36:52.493391
BTC-26DEC25-130000-C,112389.3,2656.63986409,8.22,0.0,0.23999218,1.516e-05,145.31486416,-50.49429551,0.4389,2025-10-24 07:36:52.826108
BTC-26DEC25-200000-C,112389.3,64.54806251,1.3,0.0,0.00810458,8.7e-07,10.36392934,-4.51544662,0.5502,2025-10-24 07:36:53.156310
BTC-26DEC25-120000-C,112380.25,5144.40323477,0.77,0.0,0.39356527,1.883e-05,179.79390911,-62.22109685,0.4371,2025-10-24 07:36:53.796074
