instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
BTC-25OCT25-100000-C,100000.0,1761379200000,call,110673.759,0.0965,105.31,0.094,0.098,0.2,0.0,"{'delta': 0.99596, 'gamma': 0.0, 'vega': 0.48453, 'theta': -25.51383, 'rho': 1.33525}",2025-10-24T23:15:28.687627
BTC-25OCT25-100000-P,100000.0,1761379200000,put,110673.759,0.0,105.31,0.0,0.0001,2512.0,212.4,"{'delta': -0.00404, 'gamma': 0.0, 'vega': 0.48453, 'theta': -5.40025, 'rho': -0.00607}",2025-10-24T23:15:28.975388
BTC-25OCT25-102000-C,102000.0,1761379200000,call,110673.759,0.0784,89.49,0.076,0.087,0.0,0.0,"{'delta': 0.9939, 'gamma': 0.0, 'vega': 0.6992, 'theta': -31.28718, 'rho': 1.359}",2025-10-24T23:15:29.265362
BTC-25OCT25-102000-P,102000.0,1761379200000,put,110673.759,0.0001,89.49,0.0,0.0002,693.1,1110.8,"{'delta': -0.0061, 'gamma': 0.0, 'vega': 0.6992, 'theta': -7.18864, 'rho': -0.00915}",2025-10-24T23:15:29.551252
BTC-25OCT25-104000-C,104000.0,1761379200000,call,110675.2316,0.0605,75.99,0.058,0.0755,0.0,0.0,"{'delta': 0.98775, 'gamma': 1e-05, 'vega': 1.28878, 'theta': -48.96664, 'rho': 1.37662}",2025-10-24T23:15:29.837309
BTC-25OCT25-104000-P,104000.0,1761379200000,put,110675.2316,0.0001,75.99,0.0,0.0002,110.3,36.9,"{'delta': -0.01225, 'gamma': 1e-05, 'vega': 1.28878, 'theta': -13.136, 'rho': -0.01836}",2025-10-24T23:15:30.136476
BTC-25OCT25-105000-C,105000.0,1761379200000,call,110675.2316,0.0514,66.26,0.048,0.07,6.8,0.1,"{'delta': 0.98542, 'gamma': 1e-05, 'vega': 1.49801, 'theta': -49.62897, 'rho': 1.38656}",2025-10-24T23:15:30.417137
BTC-25OCT25-105000-P,105000.0,1761379200000,put,110679.5416,0.0001,66.26,0.0,0.0003,567.2,42.0,"{'delta': -0.01452, 'gamma': 1e-05, 'vega': 1.49283, 'theta': -13.89542, 'rho': -0.02174}",2025-10-24T23:15:30.703531
BTC-25OCT25-106000-C,106000.0,1761379200000,call,110679.5416,0.0424,55.86,0.0395,0.061,4.6,0.0,"{'delta': 0.98307, 'gamma': 2e-05, 'vega': 1.70293, 'theta': -47.56517, 'rho': 1.39648}",2025-10-24T23:15:30.991515
BTC-25OCT25-106000-P,106000.0,1761379200000,put,110679.5416,0.0001,55.86,0.0001,0.0003,448.6,154.3,"{'delta': -0.01693, 'gamma': 2e-05, 'vega': 1.70293, 'theta': -13.89402, 'rho': -0.02532}",2025-10-24T23:15:31.271274
BTC-25OCT25-107000-C,107000.0,1761379200000,call,110679.5416,0.0334,45.59,0.0315,0.035,163.9,0.7,"{'delta': 0.97899, 'gamma': 3e-05, 'vega': 2.04626, 'theta': -46.64333, 'rho': 1.40383}",2025-10-24T23:15:31.572009
BTC-25OCT25-107000-P,107000.0,1761379200000,put,110678.9657,0.0001,45.59,0.0001,0.0002,561.9,276.2,"{'delta': -0.02103, 'gamma': 3e-05, 'vega': 2.04782, 'theta': -14.43382, 'rho': -0.03141}",2025-10-24T23:15:31.857911
BTC-25OCT25-108000-C,108000.0,1761379200000,call,110678.9657,0.0244,36.16,0.0225,0.0255,141.3,76.4,"{'delta': 0.96834, 'gamma': 5e-05, 'vega': 2.88406, 'theta': -52.14145, 'rho': 1.40138}",2025-10-24T23:15:32.142440
BTC-25OCT25-108000-P,108000.0,1761379200000,put,110675.2316,0.0002,36.16,0.0001,0.0003,322.3,290.8,"{'delta': -0.03184, 'gamma': 5e-05, 'vega': 2.89763, 'theta': -18.18402, 'rho': -0.04752}",2025-10-24T23:15:32.432241
BTC-25OCT25-109000-C,109000.0,1761379200000,call,110679.2357,0.0155,27.71,0.0135,0.017,85.9,23.2,"{'delta': 0.9348, 'gamma': 0.00011, 'vega': 5.14841, 'theta': -71.33573, 'rho': 1.36288}",2025-10-24T23:15:32.724837
BTC-25OCT25-109000-P,109000.0,1761379200000,put,110679.2357,0.0003,27.71,0.0002,0.0003,84.8,92.0,"{'delta': -0.0652, 'gamma': 0.00011, 'vega': 5.14841, 'theta': -32.19942, 'rho': -0.09709}",2025-10-24T23:15:33.015269
BTC-25OCT25-110000-C,110000.0,1761379200000,call,110679.2357,0.0072,22.18,0.0065,0.008,92.2,73.3,"{'delta': 0.77706, 'gamma': 0.00033, 'vega': 12.08521, 'theta': -134.04667, 'rho': 1.14131}",2025-10-24T23:15:33.312586
BTC-25OCT25-110000-P,110000.0,1761379200000,put,110679.2357,0.001,22.18,0.0009,0.0012,195.4,265.7,"{'delta': -0.22294, 'gamma': 0.00033, 'vega': 12.08521, 'theta': -116.03383, 'rho': -0.33206}",2025-10-24T23:15:33.619038
BTC-25OCT25-111000-C,111000.0,1761379200000,call,110679.2191,0.0015,18.77,0.0013,0.0015,426.7,418.0,"{'delta': 0.33799, 'gamma': 0.00048, 'vega': 14.80824, 'theta': -138.94801, 'rho': 0.49879}",2025-10-24T23:15:33.913320
BTC-25OCT25-111000-P,111000.0,1761379200000,put,110679.2191,0.0044,18.77,0.004,0.0047,97.9,156.9,"{'delta': -0.66201, 'gamma': 0.00048, 'vega': 14.80824, 'theta': -138.94801, 'rho': -0.98797}",2025-10-24T23:15:34.206114
BTC-25OCT25-112000-C,112000.0,1761379200000,call,110679.2191,0.0003,22.65,0.0002,0.0003,223.7,316.6,"{'delta': 0.07677, 'gamma': 0.00016, 'vega': 5.83685, 'theta': -31.64273, 'rho': 0.11339}",2025-10-24T23:15:34.498182
BTC-25OCT25-112000-P,112000.0,1761379200000,put,110678.8891,0.0122,22.65,0.0105,0.0135,69.6,42.3,"{'delta': -0.92329, 'gamma': 0.00016, 'vega': 5.83306, 'theta': -66.04598, 'rho': -1.38686}",2025-10-24T23:15:34.789515
BTC-25OCT25-113000-C,113000.0,1761379200000,call,110678.8891,0.0002,31.05,0.0001,0.0002,514.5,1801.7,"{'delta': 0.03432, 'gamma': 6e-05, 'vega': 3.07966, 'theta': -16.96361, 'rho': 0.05065}",2025-10-24T23:15:35.071147
BTC-25OCT25-113000-P,113000.0,1761379200000,put,110678.8891,0.0211,31.05,0.017,0.024,9.9,0.4,"{'delta': -0.96568, 'gamma': 6e-05, 'vega': 3.07966, 'theta': -47.80894, 'rho': -1.4629}",2025-10-24T23:15:35.357303
BTC-25OCT25-114000-C,114000.0,1761379200000,call,110678.8891,0.0001,40.27,0.0,0.0002,282.9,319.9,"{'delta': 0.02282, 'gamma': 3e-05, 'vega': 2.19292, 'theta': -13.83032, 'rho': 0.03365}",2025-10-24T23:15:35.646661
BTC-25OCT25-114000-P,114000.0,1761379200000,put,110678.8891,0.0301,40.27,0.0245,0.033,7.7,3.0,"{'delta': -0.97718, 'gamma': 3e-05, 'vega': 2.19292, 'theta': -44.15528, 'rho': -1.49329}",2025-10-24T23:15:35.931978
BTC-25OCT25-115000-C,115000.0,1761379200000,call,110678.8891,0.0001,45.95,0.0,0.0001,218.8,242.8,"{'delta': 0.01163, 'gamma': 2e-05, 'vega': 1.23096, 'theta': -7.42237, 'rho': 0.01714}",2025-10-24T23:15:36.243808
BTC-25OCT25-115000-P,115000.0,1761379200000,put,110678.8432,0.0391,45.95,0.0375,0.042,0.0,0.0,"{'delta': -0.98837, 'gamma': 2e-05, 'vega': 1.23089, 'theta': -28.27683, 'rho': -1.5232}",2025-10-24T23:15:36.530460
BTC-25OCT25-116000-C,116000.0,1761379200000,call,110679.5768,0.0001,54.0,0.0,0.0001,229.1,242.1,"{'delta': 0.009, 'gamma': 1e-05, 'vega': 0.98456, 'theta': -6.57645, 'rho': 0.01325}",2025-10-24T23:15:36.822072
BTC-25OCT25-116000-P,116000.0,1761379200000,put,110679.5768,0.0481,54.0,0.0465,0.051,0.1,0.0,"{'delta': -0.991, 'gamma': 1e-05, 'vega': 0.98456, 'theta': -26.58518, 'rho': -1.54047}",2025-10-24T23:15:37.110555
BTC-25OCT25-117000-C,117000.0,1761379200000,call,110679.5768,0.0001,61.53,0.0,0.0002,129.1,119.1,"{'delta': 0.00705, 'gamma': 1e-05, 'vega': 0.79404, 'theta': -5.71637, 'rho': 0.01037}",2025-10-24T23:15:37.403967
BTC-25OCT25-117000-P,117000.0,1761379200000,put,110681.7328,0.0571,61.53,0.055,0.0605,0.0,0.0,"{'delta': -0.99294, 'gamma': 1e-05, 'vega': 0.79574, 'theta': -24.48138, 'rho': -1.55673}",2025-10-24T23:15:37.700566
BTC-25OCT25-118000-C,118000.0,1761379200000,call,110681.7328,0.0,69.0,0.0,0.0001,601.8,1000.3,"{'delta': 0.00582, 'gamma': 1e-05, 'vega': 0.67078, 'theta': -5.18744, 'rho': 0.00856}",2025-10-24T23:15:37.987478
BTC-25OCT25-118000-P,118000.0,1761379200000,put,110681.7328,0.0662,69.0,0.064,0.0695,0.0,0.0,"{'delta': -0.99418, 'gamma': 1e-05, 'vega': 0.67078, 'theta': -23.14308, 'rho': -1.57195}",2025-10-24T23:15:38.268276
BTC-25OCT25-120000-C,120000.0,1761379200000,call,110681.7328,0.0,72.37,0.0,0.0001,94.5,96.5,"{'delta': 0.00119, 'gamma': 0.0, 'vega': 0.15976, 'theta': -0.97108, 'rho': 0.00175}",2025-10-24T23:15:38.558962
BTC-25OCT25-120000-P,120000.0,1761379200000,put,110682.6328,0.0842,72.37,0.0825,0.088,0.0,0.0,"{'delta': -0.99881, 'gamma': 0.0, 'vega': 0.15991, 'theta': -5.78659, 'rho': -1.60556}",2025-10-24T23:15:38.844052
BTC-25OCT25-122000-C,122000.0,1761379200000,call,110682.6328,0.0,72.62,0.0,0.0001,83.4,13.7,"{'delta': 0.00013, 'gamma': 0.0, 'vega': 0.02071, 'theta': -0.09339, 'rho': 0.00019}",2025-10-24T23:15:39.127004
BTC-25OCT25-122000-P,122000.0,1761379200000,put,110682.6328,0.1022,72.62,0.1,0.106,0.0,0.0,"{'delta': -0.99987, 'gamma': 0.0, 'vega': 0.02071, 'theta': -0.75201, 'rho': -1.6339}",2025-10-24T23:15:39.427085
BTC-26OCT25-100000-C,100000.0,1761465600000,call,110683.5776,0.0967,68.2,0.0945,0.097,0.0,0.0,"{'delta': 0.99067, 'gamma': 1e-05, 'vega': 1.77399, 'theta': -40.63023, 'rho': 4.03638}",2025-10-24T23:15:39.724821
BTC-26OCT25-100000-P,100000.0,1761465600000,put,110683.5776,0.0001,68.2,0.0001,0.0002,85.2,9.2,"{'delta': -0.00933, 'gamma': 1e-05, 'vega': 1.77399, 'theta': -15.34101, 'rho': -0.04277}",2025-10-24T23:15:40.013695
BTC-26OCT25-102000-C,102000.0,1761465600000,call,110683.5776,0.0786,56.35,0.0765,0.08,0.0,0.0,"{'delta': 0.98893, 'gamma': 1e-05, 'vega': 2.05781, 'theta': -38.94169, 'rho': 4.11015}",2025-10-24T23:15:40.296029
BTC-26OCT25-102000-P,102000.0,1761465600000,put,110683.5776,0.0001,56.35,0.0001,0.0002,155.1,1.2,"{'delta': -0.01107, 'gamma': 1e-05, 'vega': 2.05781, 'theta': -15.2695, 'rho': -0.05058}",2025-10-24T23:15:40.581924
BTC-26OCT25-103000-C,103000.0,1761465600000,call,110683.5776,0.0696,50.42,0.0675,0.071,0.0,0.0,"{'delta': 0.98779, 'gamma': 1e-05, 'vega': 2.24146, 'theta': -37.94997, 'rho': 4.14577}",2025-10-24T23:15:40.868934
BTC-26OCT25-103000-P,103000.0,1761465600000,put,110684.0576,0.0001,50.42,0.0001,0.0002,39.6,7.2,"{'delta': -0.01221, 'gamma': 1e-05, 'vega': 2.24079, 'theta': -15.21648, 'rho': -0.05573}",2025-10-24T23:15:41.158320
BTC-26OCT25-104000-C,104000.0,1761465600000,call,110683.5776,0.0605,44.46,0.0585,0.062,0.0,0.0,"{'delta': 0.98636, 'gamma': 1e-05, 'vega': 2.46615, 'theta': -36.82186, 'rho': 4.18013}",2025-10-24T23:15:41.456405
BTC-26OCT25-104000-P,104000.0,1761465600000,put,110684.5659,0.0001,44.46,0.0,0.0002,144.7,9.6,"{'delta': -0.01363, 'gamma': 1e-05, 'vega': 2.46463, 'theta': -15.15919, 'rho': -0.06214}",2025-10-24T23:15:41.740831
BTC-26OCT25-105000-C,105000.0,1761465600000,call,110684.5659,0.0515,39.83,0.049,0.053,5.0,0.0,"{'delta': 0.98148, 'gamma': 2e-05, 'vega': 3.20668, 'theta': -42.89281, 'rho': 4.19869}",2025-10-24T23:15:42.033198
BTC-26OCT25-105000-P,105000.0,1761465600000,put,110684.5659,0.0002,39.83,0.0001,0.0003,64.0,39.1,"{'delta': -0.01852, 'gamma': 2e-05, 'vega': 3.20668, 'theta': -19.13106, 'rho': -0.08441}",2025-10-24T23:15:42.319274
BTC-26OCT25-106000-C,106000.0,1761465600000,call,110684.5659,0.0425,34.65,0.04,0.044,3.0,0.0,"{'delta': 0.97532, 'gamma': 2e-05, 'vega': 4.08733, 'theta': -47.5543, 'rho': 4.21153}",2025-10-24T23:15:42.604926
BTC-26OCT25-106000-P,106000.0,1761465600000,put,110684.4849,0.0002,34.64,0.0001,0.0003,22.4,8.7,"{'delta': -0.02468, 'gamma': 2e-05, 'vega': 4.08699, 'theta': -22.88922, 'rho': -0.11236}",2025-10-24T23:15:42.896788
BTC-26OCT25-107000-C,107000.0,1761465600000,call,110684.4849,0.0336,30.5,0.0315,0.035,7.4,0.0,"{'delta': 0.95972, 'gamma': 4e-05, 'vega': 6.12655, 'theta': -62.76055, 'rho': 4.18138}",2025-10-24T23:15:43.194455
