price,rsi,atr,volume_ratio,z_score,trend_strength,volatility,ma_distance,price_momentum,bollinger_position,iv,price_change_pct,astro_mars,astro_venus,astro_jupiter,astro_saturn,lunar_phase,aether_flow,phase,direction
2354.6,70.81388910859766,84.34285714285706,0.5755428503658118,1.6667298005816131,0.07755125607830451,0.020894258334215463,0.09711463417475262,0.06978646069968186,0.916682450145403,65.0,-1.3263488737559004,0.5,0.5,0.5,0.5,0.5,0.5,0,-1
2237.5,63.53700943864879,98.37857142857135,1.608188030871976,0.6532816495950597,0.07682251964110791,0.02437719599002853,0.036948983268625384,-0.013165148741923316,0.6633204123987649,65.0,-4.973243863076526,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2233.5,66.10307147076196,100.8357142857142,1.4078107492700926,0.5460390306288695,0.07680265096679184,0.024301881582575374,0.02939668413053785,-0.012643119225498434,0.6365097576572174,65.0,-0.17877094972067464,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2172.0,58.122302158273385,102.3607142857142,0.9708589645912227,-0.025876701397771994,0.07555248625614862,0.02429120436833761,-0.0013597966856823557,-0.07711918419375396,0.49353082465055675,65.0,-2.753525856279382,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2284.1,65.797526456713,106.68571428571421,1.0447196628149493,0.8644702682696535,0.07506140354329921,0.026633595179562656,0.045347514776786446,-0.042807752750131045,0.7161175670674134,65.0,5.161141804788216,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2275.15,62.28314851350433,107.91071428571422,1.5525801280520337,0.7094454981074337,0.07511385712920805,0.026706914010028383,0.03687499643953761,-0.033742461564596926,0.6773613745268582,65.0,-0.3918392364607448,0.5,0.5,0.5,0.5,0.5,0.5,0,-1
2240.9,59.3725541351422,111.39999999999993,0.7027091754862408,0.3504246120401618,0.07388805998176788,0.027055039800421038,0.01779980106371868,0.0015195530726257456,0.5876061530100404,65.0,-1.5053952486649202,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2207.7,52.77796807563196,108.74999999999993,0.3091805489709702,-0.019461425837356973,0.07342002920411507,0.02677214506284644,-0.0009310976430673255,-0.011551376762928167,0.4951346435406605,65.0,-1.4815475924851773,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2168.0,44.049785282771666,106.5678571428571,0.6510069556308972,-0.5143561704108444,0.07312398247682317,0.02688047232751737,-0.022272832330839702,-0.0018416206261510082,0.3714109573972892,65.0,-1.7982515740363247,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2247.5,53.23951511773723,110.03214285714282,1.1652911261168706,0.23347306390431308,0.07291825265434089,0.02759871969476002,0.009292451188528918,-0.016023816820629477,0.5583682659760782,65.0,3.666974169741688,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2216.45,46.270515826494716,109.79999999999995,0.7388875100087057,-0.25285788243085844,0.07287157010183522,0.027688127931872357,-0.008661271169573416,-0.02580049667054929,0.43678552939228543,65.0,-1.381535038932158,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2215.85,46.58797491700479,112.8785714285714,0.897011778842902,-0.37575611375909285,0.07155813640026669,0.02711679459192597,-0.011609688754180433,-0.011178544334865537,0.4060609715602269,65.0,-0.02707031514358471,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2275.5,43.962848297213625,107.67857142857143,1.178233458380042,0.4077292871486999,0.07133099563955261,0.02762408748582698,0.01097724468159527,0.03071069438782459,0.6019323217871749,65.0,2.691969221743351,0.5,0.5,0.5,0.5,0.5,0.5,0,-1
2286.1,41.97323074457,109.65714285714284,0.9712588235523314,0.5086122391780789,0.06921412472822414,0.026775945184512765,0.01300991695986231,0.054474169741697276,0.6271530597945196,65.0,0.4658316853438871,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2296.95,45.2201310007462,107.88571428571429,0.3238824211469392,0.6482723460554531,0.06566749626867788,0.025482036386210542,0.016754459740604626,0.02200222469410451,0.6620680865138631,65.0,0.4746074099995612,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2282.65,54.51274362818592,93.89285714285718,0.37970616675607854,0.34185606905150606,0.06362407610103003,0.024976909592627543,0.00860182508480876,0.02986758104175613,0.5854640172628764,65.0,-0.6225647053701544,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2242.1,50.801043219076,92.73214285714289,0.731044936813169,-0.3469351754520131,0.059427458033573195,0.0244390301686195,-0.008762467284430997,0.011846469752013977,0.4132662061369967,65.0,-1.776444045298231,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2229.5,55.89260094281615,91.30357142857149,0.9486823796408761,-0.5346724473541363,0.05534381351385819,0.02446468578962133,-0.013622145830844699,-0.020215337288507995,0.36633188816146606,65.0,-0.5619731501717129,0.5,0.5,0.5,0.5,0.5,0.5,0,1
2385.0,59.495576886881246,98.9321428571429,2.4140573739857554,2.0312282088389644,0.05108279141871173,0.027707942526597158,0.0544395885696097,0.043261449630374926,1.0078070522097413,65.0,6.974657995066158,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2333.0,55.03612779663967,98.72142857142863,2.019313710270171,1.321299835326858,0.0457658610964142,0.02798304815932195,0.03266528786153527,0.015694725614401772,0.830324958831715,65.0,-2.180293501048214,0.5,0.5,0.5,0.5,0.5,0.5,0,0
2297.55,54.92137954999567,102.0285714285715,1.3012853647199087,0.7915300020259062,0.04259417818109401,0.028031756392610276,0.018259578522835676,0.00652750093093557,0.6978825005064767,65.0,-1.5195027861122923,0.5,0.5,0.5,0.5,0.5,0.5,0,-1
