timestamp,price,zscore_50,zscore_100,zscore_150,rsi,atr_pct,volatility,momentum_5,momentum_20,volume_ratio,dist_from_high,dist_from_low,neg_momentum_ratio,vol_trend,phase_encoded,curl_score,energy_score,retro_planets,vortex,future_return_5,future_return_10,future_return_20,max_profit,max_drawdown,is_strong_move,optimal_direction,optimal_magnitude,market_phase
2025-08-12 16:00:00,4515.74,1.889220503602918,2.506687710282368,3.091894333224346,69.7227243913319,2.1431149711896604,1.4876331421239226,6.988028307496934,7.783484977229533,1.3312892102616416,-0.05710086934966819,27.474692727652528,0.4,0.23423396643106476,2,0.8,0.5,3,0.5,3.2831828227488793,4.512660162011114,-1.879869080150749,5.766053847209983,-2.97957809794187,True,CALL,5.766053847209983,BULLISH
2025-08-12 20:00:00,4589.34,2.022940891028184,2.6489853286703537,3.262840739834205,70.96051431595302,2.178472285775296,1.51091311912413,7.113449222323872,9.061484827817303,1.4956753576426207,-1.091810344827583,29.552344980606698,0.4,0.254963145762603,2,0.8,0.5,3,0.5,3.26212483712255,0.6462802930268808,-3.0396527605276575,4.069866255278532,-4.535510552715652,False,PUT,4.535510552715652,NEUTRAL
2025-08-13 00:00:00,4646.27,2.0817042319304084,2.7146229332877914,3.3423665324248932,71.79352580927386,2.168126260419649,1.5203439233468587,7.6834115533924425,9.124751042801854,0.8488491372706748,-0.23961712790100662,31.159420289855085,0.4,0.3108350550896191,2,0.8,0.5,3,0.5,2.2004747894547623,-2.3225081624615176,-5.604280422790761,2.7947149003394003,-5.705221607870416,False,PUT,5.705221607870416,NEUTRAL
2025-08-13 04:00:00,4625.11,1.897543653522172,2.5291371645375036,3.131464431514432,70.11383472012503,2.1690186827988964,1.5245504957310205,7.840833047707645,8.571167000784044,0.8636523744947147,-1.251566593292096,30.56209526713074,0.45,0.3259027158433987,2,0.8,0.5,3,0.5,3.2650034269455266,-1.7154186603129273,-4.914261498645437,3.2650034269455266,-5.273820514539115,False,PUT,5.273820514539115,NEUTRAL
2025-08-13 08:00:00,4688.95,1.9851035557063619,2.61626555469908,3.237340390671723,70.28250151739408,2.119387069599804,1.5360499461557782,4.8620833091060325,10.56002112664432,1.1143906317100172,-0.625205311066134,32.364232764801855,0.4,0.36782993443249024,2,0.8,0.5,3,0.5,1.2832297209396577,-1.1849134667676025,-5.808123353842548,1.8590516000383899,-6.563516352275034,False,PUT,6.563516352275034,NEUTRAL
2025-08-13 12:00:00,4664.0,1.8143793653463243,2.4351978362802775,3.029563819720816,71.04506851231925,2.1691252144082327,1.5386736299048132,3.2831828227488793,11.437650825508323,1.7787062087529295,-1.561840439003799,31.65991994263873,0.4,0.34100057821075463,2,0.8,0.5,3,0.5,1.1903945111492376,-0.5008576329330976,-5.209905660377354,2.403945111492279,-6.063679245283027,False,PUT,6.063679245283027,NEUTRAL
2025-08-13 16:00:00,4739.05,1.9357558655356015,2.552163228728185,3.1678765020234874,80.3620819713351,2.156181091146959,1.5031294800982922,3.26212483712255,13.381996880173789,1.0793514859434623,-0.2813303537986939,33.77850420329376,0.35,0.22653155421208285,2,0.8,0.5,3,0.5,-2.533208132431609,-2.2166889988499845,-6.079488505080144,0.7822242854580499,-7.5513024762347,False,PUT,7.5513024762347,NEUTRAL
2025-08-13 20:00:00,4748.51,1.8743408370836419,2.4746047958802366,3.0784653045969077,76.95219276861087,2.162625749972097,1.4970055414172563,2.2004747894547623,12.603716851513274,0.9286744577816177,-0.7715085164760548,34.04555026732836,0.35,0.2183143029050985,2,0.8,0.5,3,0.5,-4.425598766771062,-6.722108619335324,-5.9728209480447525,0.5814455481824756,-7.735479129242659,True,PUT,7.735479129242659,BULLISH
2025-08-14 00:00:00,4776.12,1.870058332309087,2.450659368457025,3.050513876679127,85.21481642466141,2.180169258728844,1.4957823088933937,3.2650034269455266,12.43987937029599,0.5688434743163634,-0.19454887021647793,34.824952151894436,0.35,0.25368437197388716,2,0.8,0.5,3,0.5,-4.822952522130923,-8.268845841394276,-4.746740031657497,-0.5653124293359463,-8.268845841394276,True,PUT,8.268845841394276,BULLISH
2025-08-14 04:00:00,4749.12,1.7149659715349446,2.286532468919566,2.8598737985392964,86.36682773716592,2.198954753722796,1.5159675852397259,1.2832297209396577,11.758199865394658,0.7372743075361672,-0.9355502850455961,33.320981311953105,0.4,0.277971404167232,2,0.8,0.5,3,0.5,-2.4368725153291466,-6.571954383127815,-3.9969510140826032,-0.6232733643285377,-7.747330031669031,True,PUT,7.747330031669031,BULLISH
2025-08-14 08:00:00,4719.52,1.5696620735783058,2.1310295869571623,2.678929305817565,81.41775736037675,2.2045886022307353,1.5329733307712,1.1903945111492376,9.552460538532973,0.8425421710786466,-1.552992613637545,32.27354260089687,0.45,0.4890799964154019,2,0.8,0.5,3,0.5,-1.671356409126354,-6.116511848662577,-5.5497169203647845,-1.671356409126354,-7.168737498728701,True,PUT,7.168737498728701,BULLISH
2025-08-14 12:00:00,4619.0,1.2269501638243314,1.8112589969582138,2.3068963683999675,69.94951150744211,2.4635202424767257,1.6183162023671742,-2.533208132431609,8.098114426265566,3.1723827078235853,-3.6497933862748457,29.32361982943506,0.45,0.550199382600686,2,0.8,0.5,3,0.5,0.3247456159341849,-3.6622645594284444,-3.2123836328209596,0.4684996752543911,-5.148516995020576,True,PUT,5.148516995020576,BULLISH
2025-08-14 16:00:00,4538.36,0.9505297792306351,1.561521614454808,2.0170783456796637,65.2660687410525,2.5375025339549966,1.661720258049035,-4.425598766771062,8.479778181470486,1.204025663509727,-5.331906540925383,27.065846133170567,0.45,0.5357525654361731,2,0.8,0.5,3,0.5,-2.402850368855694,-3.3598039820551824,-4.863871530685089,2.253677539904297,-4.863871530685089,True,PUT,4.863871530685089,BULLISH
2025-08-14 20:00:00,4545.77,0.9408681820417475,1.5446269540203343,1.9970741377767771,55.78142280791939,2.4805148522692515,1.574199260414499,-4.822952522130923,5.022190699082109,0.835981890813773,-5.177337363396096,25.034932335790533,0.45,0.3093588226614955,2,0.8,0.5,3,0.5,-3.6205087366936914,-3.2546741256156984,-6.400895777833024,2.0869951625357173,-6.400895777833024,True,PUT,6.400895777833024,BULLISH
2025-08-15 00:00:00,4633.39,1.1823940576958987,1.7227671822473294,2.2045318394486535,58.582704737448765,2.402851907566596,1.4625186100130632,-2.4368725153291466,8.826078480649958,0.568807680886891,-3.349624632611383,27.080064947175575,0.4,0.0648385093215252,2,0.8,0.5,3,0.5,-4.238365430063087,-4.678647815098678,-7.799904605483253,0.1564729064464679,-8.170907262285285,True,PUT,8.170907262285285,BULLISH
2025-08-15 04:00:00,4640.64,1.1718088315536577,1.695680245280534,2.174336308679228,54.1435125355389,2.3867182112811998,1.3958085172642554,-1.671356409126354,9.947189981022518,0.4566355588493957,-3.1983929811826086,27.27891081831248,0.35,-0.02276226230688944,2,0.8,0.5,3,0.5,-4.520712660322713,-4.7327523789822115,-6.392868225072405,-0.14308371259137376,-8.3143704316646,True,PUT,8.3143704316646,BULLISH
2025-08-15 08:00:00,4634.0,1.122531275161103,1.6368589731419432,2.1075830895859595,48.92131868131865,2.347442813983597,1.3724227496948083,0.3247456159341849,8.15579662789177,0.38704040642354876,-3.3369003143532443,26.83727932119885,0.4,-0.05502699256385841,2,0.8,0.5,3,0.5,-3.974104445403536,-3.950366853690125,-6.059559775571864,-1.6119982736296896,-8.182995252481653,True,PUT,8.182995252481653,BULLISH
2025-08-15 12:00:00,4429.31,0.3851935405578907,1.1118372018507157,1.5034217093323663,36.98622853192966,2.7106366454368716,1.69740384520796,-2.402850368855694,2.6550785097630314,1.771161738885982,-7.6066391737954095,19.6690352038473,0.45,0.15630261027974784,2,0.8,0.5,3,0.5,-0.9805138949407535,0.8032853875660075,-2.661136836211527,2.934768620846131,-3.939891314900068,False,PUT,3.939891314900068,NEUTRAL
2025-08-15 16:00:00,4381.19,0.1778640110097857,0.9763096313949574,1.3483173478037402,29.10828717280333,2.7540690999477295,1.7134583544680104,-3.6205087366936914,2.1535010713877605,1.017229492565994,-8.610400148519924,15.982432639922054,0.45,0.243636873911694,2,0.8,0.5,3,0.5,0.3795772381476291,3.839596091472871,-3.7421339864283407,4.065333847653277,-3.7421339864283407,True,CALL,4.065333847653277,BULLISH
2025-08-15 20:00:00,4437.01,0.3529351474434504,1.0913601209647537,1.4818787164279157,35.211029018933374,2.6291353862172935,1.7240824596314506,-4.238365430063087,-0.7722171779744729,0.6120004335846557,-7.446020730208993,17.460145176917827,0.45,0.2774650214168654,2,0.8,0.5,3,0.5,-0.4597690787264519,2.7561353253655043,-4.620003110202586,2.7561353253655043,-4.953110315279894,False,PUT,4.953110315279894,NEUTRAL
2025-08-16 00:00:00,4430.85,0.295887362716477,1.0557659248908844,1.4427072436043955,27.939702808715396,2.6171727772323576,1.462645849861657,-4.520712660322713,-1.879869080150749,0.3930404687835474,-7.574515485078128,15.106745571968187,0.5,-0.07711583306582934,2,0.8,0.5,3,0.5,-0.2220792850130369,0.6037216335466106,-2.7985600956926997,2.898992292675216,-4.820971145491284,False,PUT,4.820971145491284,NEUTRAL
2025-08-16 04:00:00,4449.84,0.33936316072519207,1.0806398879270238,1.47221570967599,28.909571087604377,2.515202793808314,1.4488263857272776,-3.974104445403536,-3.0396527605276575,0.29361506710015545,-7.1783928560253845,14.80495356037152,0.5,-0.026086240819587977,2,0.8,0.5,3,0.5,0.024719989932210015,0.46698308253779336,-5.8516710713194255,2.45986372543732,-5.8516710713194255,False,PUT,5.8516710713194255,NEUTRAL
2025-08-16 08:00:00,4385.88,0.0398880466266176,0.9096473151291911,1.2782305717871407,23.788990086241725,2.542534223462563,1.425590992999917,-0.9805138949407535,-5.604280422790761,0.4848743294906272,-8.512568914699093,12.948193320268137,0.55,-0.05647057070606008,2,0.8,0.5,3,0.5,1.8014628763212903,-1.556358131093423,-5.566043758607164,3.9540525504573787,-5.566043758607164,False,PUT,5.566043758607164,NEUTRAL
2025-08-16 12:00:00,4397.82,0.05167735162780906,0.9212253356680299,1.2925290974347263,25.917242513984903,2.5100276955400607,1.393375293767887,0.3795772381476291,-4.914261498645437,0.44837497510666036,-8.263506029449506,13.2556803988576,0.5,-0.0835130970231165,2,0.8,0.5,3,0.5,3.446935072376772,-3.2520657962353967,-7.3515969275686475,3.6718192195224106,-7.3515969275686475,True,PUT,7.3515969275686475,BEARISH
2025-08-16 16:00:00,4416.61,0.09502050195319504,0.9491508382159045,1.3244387386037673,28.922134854916152,2.435601060541906,1.3998887040543504,-0.4597690787264519,-5.808123353842548,0.23843204433833912,-7.871555308022382,13.550959753595535,0.5,-0.08176953930075954,2,0.8,0.5,3,0.5,3.2307584323723515,-3.274457106242116,-6.266570967325608,3.2307584323723515,-7.745759756917623,True,PUT,7.745759756917623,BEARISH
2025-08-16 20:00:00,4421.01,0.07529974954058878,0.9427324737794751,1.3175217252186295,34.095400285976,2.3306891411690964,1.3565274478499894,-0.2220792850130369,-5.209905660377354,0.1862575062536003,-7.7797733402587,11.946126206880841,0.45,-0.11687282614414582,2,0.8,0.5,3,0.5,0.8276389331849541,-1.7425882321008084,-5.3603135935001385,3.1280182582712994,-7.8375755766216315,False,PUT,7.8375755766216315,NEUTRAL
2025-08-17 00:00:00,4450.94,0.18843728723134429,0.9951058494328962,1.3778782635528593,42.354649128944246,2.285910391962145,1.3697955138188767,0.024719989932210015,-6.079488505080144,0.3139191489174544,-7.155447364084477,11.124593045319259,0.45,-0.10975564460436213,2,0.8,0.5,3,0.5,0.44215379223265855,-2.195940632765209,-5.75563813486588,2.434541916988335,-8.45731463466143,False,PUT,8.45731463466143,NEUTRAL
2025-08-17 04:00:00,4464.89,0.22209911330386725,1.0084813661580527,1.3943558061473964,43.00660602497147,2.2310852003072825,1.3143963744436395,1.8014628763212903,-5.9728209480447525,0.5232585634089432,-6.8644568071973735,11.46424942643803,0.45,-0.1255601118556407,2,0.8,0.5,3,0.5,-3.29840152836913,-3.436814792749669,-4.74121422924194,2.114497781580282,-8.743328503053828,True,PUT,8.743328503053828,BEARISH
2025-08-17 08:00:00,4549.41,0.6351292102202442,1.1827340251509366,1.5936405500879576,42.69942276931633,2.239620082604114,1.390741748147683,3.446935072376772,-4.746740031657497,0.8790438100211105,-5.1014086446097995,12.539796016811422,0.45,-0.07098423508103417,2,0.8,0.5,3,0.5,-6.47578477209132,-7.301386333612491,-4.494428947929517,0.21739082650278446,-10.438716229137396,True,PUT,10.438716229137396,BEARISH
2025-08-17 12:00:00,4559.3,0.6574885392533624,1.1812684183257547,1.5934687809210066,42.961232260297685,2.2029697541289197,1.3832167060468477,3.2307584323723515,-3.9969510140826032,0.5148701723754263,-4.8951078125228165,9.78328918853841,0.4,-0.07525533774351434,2,0.8,0.5,3,0.5,-6.301625249490062,-7.178294913692886,-4.933652095716458,-1.9450354221042767,-10.632991906652336,True,PUT,10.632991906652336,BEARISH
2025-08-17 16:00:00,4457.6,0.06743349712722112,0.9254980387981288,1.3065958685971515,36.891775406473904,2.3011261665470175,1.4474818219135095,0.8276389331849541,-5.5497169203647845,0.9163300758597066,-7.0165228401512705,7.334457019022403,0.4,-0.04517627157271074,2,0.8,0.5,3,0.5,-2.549129576453699,-3.381864680545585,-3.692569992821257,0.29208542713566776,-8.594086503948315,True,PUT,8.594086503948315,BEARISH
