symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-25OCT25-184-C-USDT,191.86163961,8.70790845,1.0,1.0,0.82512981,0.02927796,0.02780199,-0.98199213,0.8156,2025-10-24 07:17:31.675994
SOL-25OCT25-165-P-USDT,191.86163961,0.05120134,0.0,0.0,-0.01132338,0.00230481,0.00320467,-0.16574028,1.1942,2025-10-24 07:17:31.998038
SOL-25OCT25-184-P-USDT,191.86163961,0.84626884,59.0,109.0,-0.1748702,0.02927796,0.02780199,-0.98199213,0.8156,2025-10-24 07:17:32.320601
SOL-25OCT25-186-C-USDT,191.865962,7.11066457,13.0,4.0,0.76118681,0.03578032,0.03345448,-1.16345695,0.8031,2025-10-24 07:17:32.644133
SOL-25OCT25-178-C-USDT,191.865962,14.20187573,0.0,0.0,0.92686655,0.01376308,0.01498345,-0.60672762,0.935,2025-10-24 07:17:32.967550
SOL-25OCT25-195-C-USDT,191.8656731,1.60073525,298.0,71.0,0.3401971,0.05077985,0.03954675,-1.14555567,0.6689,2025-10-24 07:17:33.288117
SOL-25OCT25-150-C-USDT,191.8656731,41.87631828,0.0,0.0,0.99788666,0.00039757,0.00071924,-0.04839862,1.5538,2025-10-24 07:17:33.614063
SOL-25OCT25-160-P-USDT,191.8656731,0.03236056,102.0,1.0,-0.00677969,0.00132181,0.0020442,-0.11759136,1.3283,2025-10-24 07:17:33.944532
SOL-25OCT25-175-P-USDT,191.86954684,0.22546995,15.0,16.0,-0.04887709,0.00933781,0.01092895,-0.4757814,1.0052,2025-10-24 07:17:34.280508
SOL-25OCT25-192-C-USDT,191.86954684,2.93634129,6.0,6.0,0.50090083,0.05304641,0.04304865,-1.29942204,0.697,2025-10-24 07:17:34.608694
SOL-25OCT25-160-C-USDT,191.86839667,31.90467405,0.0,0.0,0.9927636,0.00138622,0.00216532,-0.1258052,1.3415,2025-10-24 07:17:35.230840
SOL-25OCT25-155-P-USDT,191.86839667,0.02200986,14.0,18.0,-0.00434342,0.00080453,0.00137613,-0.08755368,1.4691,2025-10-24 07:17:35.557383
SOL-25OCT25-200-C-USDT,191.86839667,0.56978864,88.0,104.0,0.14914567,0.03090603,0.02506353,-0.75603546,0.6965,2025-10-24 07:17:35.883223
SOL-25OCT25-205-C-USDT,191.86820807,0.18308246,66.0,71.0,0.05556655,0.01424705,0.01210121,-0.38232609,0.7295,2025-10-24 07:17:36.234037
SOL-25OCT25-200-P-USDT,191.86820807,8.7015481,0.0,0.0,-0.85086079,0.03090525,0.02506265,-0.75601857,0.6965,2025-10-24 07:17:36.560276
SOL-25OCT25-182-P-USDT,191.86820807,0.63939279,63.0,66.0,-0.13327423,0.0230853,0.0232221,-0.86891694,0.864,2025-10-24 07:17:36.885677
SOL-25OCT25-210-P-USDT,191.86266553,18.20312006,0.0,0.0,-0.97732738,0.00628845,0.00580919,-0.19961705,0.7934,2025-10-24 07:17:37.210157
SOL-25OCT25-150-P-USDT,191.86266553,0.01614648,0.0,0.0,-0.00298458,0.00052142,0.00098264,-0.06888861,1.6187,2025-10-24 07:17:37.532500
